                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.2765,                 1.6758,                 1.0499,                 1.2086,                0.57399,                0.53266,                0.56741,                0.33161,                0.57121,                0.52766,                 0.5534,                0.33082,                 1.9802,                 2.6469,                  1.675,                  1.898,             0.00014851,             0.00014851,             0.00014851
                     82,                 1.2486,                 1.6461,                 1.0236,                 1.2107,                0.49879,                0.44967,                0.47354,                0.28301,                 0.5149,                0.46314,                0.48238,                0.27663,                 2.0164,                 2.6065,                 1.7661,                 1.9309,             0.00014144,             0.00014144,             0.00014144
                     83,                 1.2511,                 1.6404,                  1.048,                 1.2105,                0.50281,                0.52013,                0.53963,                0.29613,                0.58071,                0.47687,                0.53645,                0.28957,                 2.0217,                 2.6071,                 1.7413,                 1.9189,             0.00013437,             0.00013437,             0.00013437
                     84,                 1.2583,                 1.6548,                 1.0174,                 1.2028,                0.45732,                0.58763,                0.51914,                0.28658,                 0.4626,                0.59658,                0.52664,                0.27896,                 2.0631,                 2.6278,                 1.7034,                 1.9758,             0.00012731,             0.00012731,             0.00012731
                     85,                  1.247,                 1.6157,                 1.0085,                 1.2056,                0.50761,                0.51879,                0.50409,                0.28637,                0.52246,                 0.5269,                0.51749,                0.28139,                 2.0145,                 2.7167,                 1.7459,                 1.9065,             0.00012024,             0.00012024,             0.00012024
                     86,                 1.2425,                 1.6429,                0.99495,                 1.1948,                0.51715,                0.49331,                0.49465,                0.28462,                 0.5141,                0.50478,                 0.4988,                0.28181,                 2.0645,                 2.6513,                 1.6594,                 1.9598,             0.00011317,             0.00011317,             0.00011317
                     87,                 1.1986,                 1.5924,                0.96402,                 1.1679,                0.51379,                0.51481,                0.51887,                0.29466,                0.51938,                 0.5258,                0.53116,                0.28767,                 2.0631,                 2.7557,                 1.7557,                 1.9798,              0.0001061,              0.0001061,              0.0001061
                     88,                 1.2021,                 1.5536,                0.95995,                 1.1729,                0.53455,                0.46136,                0.52574,                0.30013,                0.55046,                 0.4798,                0.53987,                0.29302,                 2.0541,                 2.6789,                 1.7051,                 1.9783,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                 1.1647,                 1.5447,                 0.9291,                 1.1719,                0.51495,                 0.4938,                0.49476,                0.29877,                0.52491,                0.49957,                0.51549,                0.29639,                  2.024,                 2.6922,                 1.7543,                  1.955,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                 1.1676,                 1.5521,                0.93216,                 1.1719,                0.45813,                0.58789,                0.52908,                0.29982,                0.47166,                0.59139,                0.53786,                0.30077,                 2.0274,                 2.6227,                 1.6973,                 1.9781,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                 1.2226,                 1.5995,                 0.8986,                 1.2278,                0.51882,                0.49759,                0.54119,                0.31598,                  0.452,                 0.5582,                0.53174,                0.30803,                 1.9928,                 2.6849,                 1.6418,                 1.9198,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                 1.1831,                  1.518,                0.85386,                 1.2009,                0.57521,                  0.594,                 0.5725,                0.33807,                0.57655,                0.60442,                0.56639,                0.32812,                 2.0341,                 2.6749,                 1.6559,                 1.9677,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                 1.1901,                 1.5824,                0.85007,                 1.1998,                0.57157,                0.54178,                0.55787,                0.32941,                0.58374,                0.56416,                0.58242,                0.32796,                 2.0337,                 2.7243,                 1.6821,                 1.9829,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                 1.1717,                 1.5547,                0.82459,                 1.1744,                0.61711,                 0.4927,                0.53965,                0.30941,                0.62287,                0.50324,                0.53804,                0.30504,                 2.0077,                 2.7307,                 1.7368,                 1.9729,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                 1.1376,                 1.5076,                0.79328,                 1.1679,                0.64209,                0.50667,                0.55719,                0.31857,                0.62909,                 0.5075,                0.54622,                0.31777,                 2.0171,                 2.7416,                  1.688,                 1.9606,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                 1.1402,                 1.5116,                0.79378,                 1.1642,                0.60818,                0.51031,                0.55659,                0.32315,                0.61251,                0.52182,                0.56054,                0.32218,                 2.0229,                 2.7532,                 1.7591,                 1.9852,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                 1.1254,                 1.5063,                0.80135,                 1.1577,                0.59642,                0.52857,                 0.5667,                0.32806,                0.59259,                0.52839,                  0.576,                0.32358,                 2.0203,                 2.7198,                 1.7288,                  1.973,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                 1.1207,                  1.504,                 0.7903,                 1.1546,                0.56274,                 0.5159,                0.55495,                0.32595,                0.56261,                0.52227,                0.56641,                0.31807,                 2.0281,                 2.7265,                 1.7351,                 1.9886,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                 1.1334,                 1.5107,                0.78797,                 1.1505,                0.57184,                 0.5317,                0.54589,                0.32265,                0.57978,                0.56243,                0.57463,                 0.3167,                 2.0516,                 2.7464,                 1.7032,                 2.0273,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                 1.0957,                 1.4747,                0.76982,                 1.1486,                0.61311,                0.50593,                0.55692,                0.32252,                0.60302,                0.51064,                0.56446,                0.31408,                 2.0338,                 2.7591,                 1.7123,                 2.0149,             1.4209e-05,             1.4209e-05,             1.4209e-05
